title,price,year,mileage,fuel
Volkswagen Passat B6,26500,2008,176000,Diesel
Volkswagen Passat B6,20900,2008,186000,Diesel
Volkswagen Passat B6,17900,2008,197000,Diesel
Volkswagen Passat B6,13700,2008,180000,Diesel
Volkswagen Passat B6,20900,2008,190000,Diesel
Volkswagen Passat B6,27900,2008,195000,Diesel
Volkswagen Passat B6,18800,2008,198123,Diesel
Volkswagen Passat B6,19900,2008,180000,Diesel
Volkswagen Passat B6,24500,2008,193379,Diesel
Volkswagen Passat B6,31900,2008,170000,Diesel
Volkswagen Passat B6,19700,2008,174000,Diesel
Volkswagen Passat B6,21900,2008,158896,Diesel
Volkswagen Passat B6,28500,2008,198000,Diesel
Volkswagen Passat B6,19500,2008,168500,Diesel
Volkswagen Passat B6,24900,2008,181000,Diesel
Volkswagen Passat B6,18800,2008,167900,Diesel
Volkswagen Passat B6,23900,2008,163000,Benzyna
Volkswagen Passat B6,22900,2008,200000,Diesel
Volkswagen Passat B6,6350,2008,160000,Diesel
Volkswagen Passat B6,38900,2008,182000,Benzyna
Volkswagen Passat B6,25000,2008,160000,Benzyna
Volkswagen Passat B6,24900,2008,184000,Diesel
Volkswagen Passat B6,16500,2008,187000,Benzyna
Volkswagen Passat B6,19799,2008,198000,Diesel
Volkswagen Passat B6,16500,2008,156000,Diesel
Volkswagen Passat B6,22900,2008,200000,Diesel
Volkswagen Passat B2,19900,2008,157000,Benzyna
Volkswagen Passat B6,18900,2008,181000,Diesel
Volkswagen Passat B6,20500,2008,199000,Benzyna
Volkswagen Passat B6,23900,2008,170000,Diesel
Volkswagen Passat B6,19900,2008,196000,Diesel
Volkswagen Passat B6,11000,2008,176000,Benzyna
Volkswagen Passat B6,21950,2008,192000,Diesel
Volkswagen Passat B6,16500,2008,196000,Diesel
Volkswagen Passat B6,21900,2008,174000,Diesel
Volkswagen Passat B6,16900,2008,188000,Benzyna+LPG
Volkswagen Passat B6,24900,2008,192000,Diesel
Volkswagen Passat B6,18200,2008,199000,Diesel
Volkswagen Passat B6,15700,2008,175000,Diesel
Volkswagen Passat B6,20900,2008,197000,Diesel
Volkswagen Passat B6,23800,2008,171000,Diesel
Volkswagen Passat B6,21600,2008,187000,Diesel
Volkswagen Passat B6,23900,2008,191145,Diesel
Volkswagen Passat B6,19900,2008,196000,Diesel
Volkswagen Passat B6,19900,2008,194000,Diesel
Volkswagen Passat B6,21990,2008,163000,Diesel
Volkswagen Passat B6,22900,2008,167000,Diesel
Volkswagen Passat B6,17777,2008,170000,Benzyna
Volkswagen Passat B6,22900,2008,188000,Diesel
Volkswagen Passat B6,22800,2008,179000,Diesel
Volkswagen Passat B6,11800,2008,155000,Benzyna
Volkswagen Passat B6,26500,2008,161000,Diesel
Volkswagen Passat B6,20900,2008,174120,Diesel
Volkswagen Passat B6,21700,2008,174000,Diesel
Volkswagen Passat B6,21900,2008,188670,Diesel
